Author,Text,Date,Score
Rowaniac,I will still tune in every time to his fights. He's a warrior.,2024-04-14 11:31:11,818
cryptdawarchild,"He’s already had a pretty detailed nose surgery, now he’s about to have a full reconstructive surgery. The bridge of his nose was indented. If he doesn’t retire now he’s going to be outta commission for awhile. What a fuckin warrior though. Dude has so much heart for the sport. He’s a real BMF. But god damn Holloway is a frickin savage! 12 years into his UFC career and he looked more crisp and ready then ever. Truly surgical.",2024-04-14 14:17:43,117
TitanasGios,He was losing the fight and this was his last chance to win .,2024-04-14 11:14:07,461
washedupsamurai,"He had every reason to turn down but decided he wanted a brawl. He was done when the nose broke but I feel there are fighters who would have taken exit after eye pokes. 

Both of them are what this sport needs.",2024-04-14 12:31:04,206
Rickrolledvsbigsmoke,He really is a bmf he gave up a title shot for a scrap. Mad respect,2024-04-14 13:43:01,249
MHC1905,After last night we may not see Oliveira or Gaethje fight for the Lightweight title again. Feels like we're coming to an end of an era. June will surely be Dustin's last chance as well,2024-04-14 16:39:13,71
pro2RK,was poirier the only one who stood toe to toe against max during these last second dogfights so far? most highlights of those moments I've seen. max always wins and the poirier one was a draw in my eyes,2024-04-14 11:33:24,65
JohnnyFencer,"KOs poirier, few months later Poirier fights for the title and he is unconscious flat on his face in the cage, probably out for a year",2024-04-14 17:38:41,25
Dantheban07,"Interesting how the narratives changed, I remember how everyone expected Max to go down like Tony when the fight was announced",2024-04-14 14:15:14,53
hunterswarchief,The Daddest MotherFucker right there,2024-04-14 11:14:32,24
abrilliantidiot,"I’m a huge Max fan and he’s my fav fighter of all time so naturally I was cheering for him to win, but I’m not gonna lie, I was nervous throughout the whole fight and counting down the seconds til the end of the 5th round. 

Gaethje is dangerous as fuck and there wasn’t a moment in the fight where I counted Gaethje out. The dude is an animal and his heart was put on display last night. Easily a hall of famer.",2024-04-14 17:37:54,10
Jolly-Librarian3715,"What Justin did to Tony Ferguson, is what Max Holloway probably did to Justin Gaethje at UFC 300. Justin took a ton of damage literally until the last second of a 25 minute fight and ended up face down. He had Max in trouble once but Max regrouped and is a class act for giving Justin a chance to win by KO even though he could have played it safe and ran the last round. He was given a 600k bonus plus his purse and endorsements. Pretty good night at the office. Live by the sword, die by it too.",2024-04-14 13:25:34,60
splintersmaster,"Did Justin do enough to be considered a hall of fame fighter? 

Based on his toughness and the wars he's been in, I think he should be. 

I hope he gets one more fight a year from now against a fun opponent. He needs to hang them up soon though. Before he turns into Tony.",2024-04-14 13:48:36,33
Mikejg23,"Huge Justin fan. His title run just went down in flames most likely. He should take some money fights if he needs the money, or go out on a win. He could probably still be elite another year or two but I don't think he's getting the shot at the belt unless Dustin wins and they go for a trilogy somehow",2024-04-14 17:53:10,8
TheUpwardSpiralDown,"When that nose broke I knew it was done. But he recovered decently, despite getting continued strikes to his nose the rest of the fight. The ko landing on his nose after 5 rounds of it just being battered was almost poetic.",2024-04-14 17:07:39,8
Olde-Town-Kujo,Yall say this shit every time someone gets knocked out lmao.,2024-04-14 19:52:56,6
Shredding_Airguitar,"I think this was tbh his last fight, he's worried about lifelong injuries before and I think this may seal it for Justin.  I mean he's 35 can't go on forever and he's not going to get a title shot in front of Max, by the time he'd be up for title he'd be 36 for sure minimum",2024-04-14 15:46:43,8
MA-JA-HO,I’m afraid it’s over for him. The way he responded to the attacks seems like he has taken too much damage in his career,2024-04-14 10:31:22,25
Dali86,"Then again Justin became a legend in this fight. Yes he lost it but this fight will be forever remembered and talked about. Hr might get the title if he does not take it or might not but this is fight was just it. 

Perfect representation of how tough both dudes are",2024-04-14 17:26:30,4
justinbeuke,The last 10 seconds of this fight sent it to the stratosphere of UFC history. Holy shit.,2024-04-14 19:13:44,5
TowelBoy83,I mean he literally had no choice lol dude was losing bad in the fight and needed the finish,2024-04-14 19:17:22,4
ballzdeepbabie,He did not give up his career relax,2024-04-14 22:23:23,3
NickAssassins,"He was not looking great after the fight, but he also got exhausted. I think he will recover.",2024-04-14 11:25:39,5
Still-Decision2642,"Idk man can’t say his career is over yet, none of lw guys will stop until they want to. Dustin, Charlie, Justin, they all got shit to prove still.",2024-04-14 14:28:14,2
Reddings-Finest,"Give up his career?

He got a fat payday and a place on the biggest card in history for a fake title despite being already 35 and multiple chokes in title fights recently.",2024-04-14 17:03:58,2
badugihowser,"He's done it on repeat too, essentially.",2024-04-14 16:27:31,1
monteasf,"Remember when he said he’s not even sure if he’ll be alive the day after his fights, and people were calling him a drama queen?",2024-04-14 16:49:45,1
BurningEbrietas,"Poor Justin , the guy he kod is gonna get a free title shot. I hope mackachaev makes a statement June 1☝️",2024-04-14 18:48:06,1
jibran1,"Justin lost because his nose broke in the first round he was visibly uncomfortable the whole fight because of it.
All the best of luck to him the man is a warrior",2024-04-14 19:45:45,1
Playful-Lion5208,"If Dustin gets a win against islam then justin is in a good place.  6 months back when he ko Dustin, it looked like his title run was over. 1 fight later against a much lower ranked fighter and he's got a title shot.  This sport changes quick.",2024-04-14 20:49:04,1
lazylagom,Hell be fine. He wasn't beating islam anyway and he's coming of Koing dustin b4 this. He's fine,2024-04-14 21:12:05,1
captaincumsock69,This lightweight division is so stacked that the right win gets everyone right back in the title picture.,2024-04-14 21:47:01,1
